,report_name,company_id,company_name,period_year,season,acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,creation_date,seq
102,ProfitAndLose,1104,環泥,112,1,基本每股盈餘,0.42,0.0,1.06,0.0,2024-04-10 13:46:49,38
104,ProfitAndLose,1104,環泥,112,1,繼續營業單位淨利（淨損）,0.42,0.0,1.06,0.0,2024-04-10 13:46:49,40
105,ProfitAndLose,1104,環泥,112,1,稀釋每股盈餘,0.42,0.0,1.06,0.0,2024-04-10 13:46:49,41
114,CashFlowStatement,1104,環泥,112,1,利息收入,-1051.0,0.0,-194.0,0.0,2024-04-10 13:46:50,9
166,BalanceSheet,1104,環泥,112,1,流動資產,0.0,0.0,0.0,0.0,2024-04-10 14:18:00,1
167,BalanceSheet,1104,環泥,112,1,現金及約當現金,840325.0,2.99,784464.0,2.82,2024-04-10 14:18:00,2
168,BalanceSheet,1104,環泥,112,1,透過損益按公允價值衡量之金融資產－流動,57577.0,0.2,81411.0,0.29,2024-04-10 14:18:00,3
169,BalanceSheet,1104,環泥,112,1,透過其他綜合損益按公允價值衡量之金融資產－流動,2392367.0,8.5,2261853.0,8.13,2024-04-10 14:18:00,4
170,BalanceSheet,1104,環泥,112,1,按攤銷後成本衡量之金融資產－流動,102367.0,0.36,107357.0,0.39,2024-04-10 14:18:00,5
171,BalanceSheet,1104,環泥,112,1,合約資產－流動,6140.0,0.02,6195.0,0.02,2024-04-10 14:18:00,6
172,BalanceSheet,1104,環泥,112,1,應收票據淨額,457621.0,1.63,537064.0,1.93,2024-04-10 14:18:01,7
173,BalanceSheet,1104,環泥,112,1,應收帳款淨額,1397506.0,4.97,1404534.0,5.05,2024-04-10 14:18:01,8
174,BalanceSheet,1104,環泥,112,1,應收帳款－關係人淨額,35932.0,0.13,41684.0,0.15,2024-04-10 14:18:01,9
175,BalanceSheet,1104,環泥,112,1,其他應收款淨額,7041.0,0.03,660.0,0.0,2024-04-10 14:18:01,10
176,BalanceSheet,1104,環泥,112,1,本期所得稅資產,10.0,0.0,0.0,0.0,2024-04-10 14:18:01,11
177,BalanceSheet,1104,環泥,112,1,存貨,427867.0,1.52,393983.0,1.42,2024-04-10 14:18:01,12
178,BalanceSheet,1104,環泥,112,1,預付款項,20793.0,0.07,23958.0,0.09,2024-04-10 14:18:01,13
179,BalanceSheet,1104,環泥,112,1,其他流動資產,9541.0,0.03,5423.0,0.02,2024-04-10 14:18:01,14
180,BalanceSheet,1104,環泥,112,1,流動資產合計,5755087.0,20.46,5648586.0,20.31,2024-04-10 14:18:01,15
181,BalanceSheet,1104,環泥,112,1,非流動資產,0.0,0.0,0.0,0.0,2024-04-10 14:18:01,16
182,BalanceSheet,1104,環泥,112,1,透過損益按公允價值衡量之金融資產－非流動,43733.0,0.16,43733.0,0.16,2024-04-10 14:18:01,17
183,BalanceSheet,1104,環泥,112,1,透過其他綜合損益按公允價值衡量之金融資產－非流動,2523482.0,8.97,2401004.0,8.63,2024-04-10 14:18:01,18
184,BalanceSheet,1104,環泥,112,1,按攤銷後成本衡量之金融資產－非流動,11344.0,0.04,11294.0,0.04,2024-04-10 14:18:01,19
185,BalanceSheet,1104,環泥,112,1,採用權益法之投資,10717055.0,38.09,10618566.0,38.18,2024-04-10 14:18:01,20
186,BalanceSheet,1104,環泥,112,1,不動產、廠房及設備,7911908.0,28.12,7911538.0,28.45,2024-04-10 14:18:02,21
187,BalanceSheet,1104,環泥,112,1,使用權資產,251796.0,0.89,263949.0,0.95,2024-04-10 14:18:02,22
188,BalanceSheet,1104,環泥,112,1,投資性不動產淨額,841586.0,2.99,841880.0,3.03,2024-04-10 14:18:02,23
189,BalanceSheet,1104,環泥,112,1,無形資產,11446.0,0.04,11992.0,0.04,2024-04-10 14:18:02,24
